,movie,rating
439,The Naked Gun 2½: The Smell of Fear,PG-13
440,Hot Shots!,PG-13
441,The Last Boy Scout,R
442,The Doors,R
443,Delicatessen,R
444,The Fisher King,R
445,Backdraft,R
446,My Girl,PG
447,Star Trek VI: The Undiscovered Country,PG
448,Father of the Bride,PG
449,Fried Green Tomatoes,PG-13
450,What About Bob?,PG
451,Bill & Ted's Bogus Journey,PG
452,Night on Earth,R
453,Hudson Hawk,R
454,The Rocketeer,PG
455,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,PG
456,Sleeping with the Enemy,R
457,City Slickers,PG-13
458,My Own Private Idaho,R
459,Naked Lunch,R
460,Highlander II: The Quickening,R
461,Freddy's Dead: The Final Nightmare,R
462,The Double Life of Véronique,R
463,Child's Play 3,R
464,Doc Hollywood,PG-13
465,The Commitments,R
466,New Jack City,R
467,L.A. Story,PG-13
468,Regarding Henry,PG-13
469,Frankie and Johnny,R
470,Don't Tell Mom the Babysitter's Dead,PG-13
471,Reservoir Dogs,R
472,Unforgiven,R
473,Aladdin,G
474,Alien³,R
475,Batman Returns,PG-13
476,Scent of a Woman,R
477,A Few Good Men,R
478,Bram Stoker's Dracula,R
479,Basic Instinct,R
480,Army of Darkness,R
481,Lethal Weapon 3,R
482,The Last of the Mohicans,R
483,Wayne's World,PG-13
484,The Bodyguard,R
485,My Cousin Vinny,R
486,Patriot Games,R
487,Death Becomes Her,PG-13
488,Glengarry Glen Ross,R
489,Dead Alive,R
490,A League of Their Own,PG
491,Sister Act,PG
492,Universal Soldier,R
493,Twin Peaks: Fire Walk with Me,R
494,Malcolm X,PG-13
495,Under Siege,R
496,White Men Can't Jump,R
497,Porco Rosso,PG
498,El Mariachi,R
499,Far and Away,PG-13
500,The Mighty Ducks,PG
501,Chaplin,PG-13
502,The Player,R
503,A River Runs Through It,PG
504,The Crying Game,R
505,The Muppet Christmas Carol,G
506,Buffy the Vampire Slayer,PG-13
507,Encino Man,PG
508,Schindler's List,R
509,Jurassic Park,PG-13
510,Groundhog Day,PG
511,The Nightmare Before Christmas,PG
512,The Fugitive,PG-13
513,Mrs. Doubtfire,PG-13
514,Philadelphia,PG-13
515,What's Eating Gilbert Grape,PG-13
516,True Romance,R
517,Falling Down,R
518,Dazed and Confused,R
519,Demolition Man,R
520,Sleepless in Seattle,PG
521,In the Name of the Father,R
522,Last Action Hero,PG-13
523,A Bronx Tale,R
524,Tombstone,R
525,Cliffhanger,R
526,Robin Hood: Men in Tights,PG-13
527,The Firm,R
528,In the Line of Fire,R
529,Cool Runnings,PG
530,Three Colors: Blue,R
531,The Piano,R
532,Wayne's World 2,PG-13
533,The Pelican Brief,PG-13
534,Addams Family Values,PG-13
535,A Perfect World,PG-13
536,Free Willy,PG
537,Indecent Proposal,R
538,Benny & Joon,PG
539,Kalifornia,R
540,Coneheads,PG
541,Menace II Society,R
542,The Age of Innocence,PG
543,The Shawshank Redemption,R
544,Pulp Fiction,R
545,Forrest Gump,PG-13
546,Léon: The Professional,R
547,The Lion King,G
548,Dumb and Dumber,PG-13
549,The Mask,PG-13
550,Speed,R
551,Interview with the Vampire: The Vampire Chronicles,R
552,Ace Ventura: Pet Detective,PG-13
553,True Lies,R
554,Clerks,R
555,Natural Born Killers,R
556,Stargate,PG-13
557,Ed Wood,R
558,The Crow,R
559,Legends of the Fall,R
560,Four Weddings and a Funeral,R
561,Maverick,PG
562,Naked Gun 33 1/3: The Final Insult,PG-13
563,The Santa Clause,PG
564,Clear and Present Danger,PG-13
565,Three Colors: Red,R
566,The Hudsucker Proxy,PG
567,Beverly Hills Cop III,R
568,Star Trek: Generations,PG
569,The Flintstones,PG
570,Quiz Show,PG-13
571,Ri¢hie Ri¢h,PG
572,Three Colors: White,R
573,The Client,PG-13
574,Shallow Grave,R
575,In the Mouth of Madness,R
576,Timecop,R
577,Chungking Express,PG-13
578,Don Juan DeMarco,PG-13
579,New Nightmare,R
580,Little Women,PG
581,Airheads,PG-13
582,"The Adventures of Priscilla, Queen of the Desert",R
583,Disclosure,R
584,Se7en,R
585,The Usual Suspects,R
586,Braveheart,R
587,Toy Story,G
588,Twelve Monkeys,R
589,Heat,R
590,Casino,R
591,Die Hard with a Vengeance,R
592,Jumanji,PG
593,Apollo 13,PG
594,Before Sunrise,R
595,GoldenEye,PG-13
596,Batman Forever,PG-13
597,Bad Boys,R
598,Ace Ventura: When Nature Calls,PG-13
599,Waterworld,PG-13
600,Desperado,R
601,Clueless,PG-13
602,Pocahontas,G
603,Billy Madison,PG-13
604,Ghost in the Shell,Not Rated
605,Mallrats,R
606,Babe,G
607,Leaving Las Vegas,R
608,Casper,PG
609,Outbreak,R
610,The Basketball Diaries,R
611,Mortal Kombat,PG-13
612,Crimson Tide,R
613,Sense and Sensibility,PG
614,Friday,R
615,Dead Man,R
616,While You Were Sleeping,PG
617,Dead Man Walking,R
618,The Quick and the Dead,R
619,Get Shorty,R
620,Tommy Boy,PG-13
621,Species,R
622,Kids,Unrated
623,The Bridges of Madison County,PG-13
624,The City of Lost Children,R
625,Hackers,PG-13
626,Trainspotting,R
627,Fargo,R
628,Independence Day,PG-13
629,Mission: Impossible,PG-13
630,The Rock,R
631,Scream,R
632,From Dusk Till Dawn,R
633,Jerry Maguire,R
634,Mars Attacks!,PG-13
635,Romeo + Juliet,PG-13
636,Happy Gilmore,PG-13
637,Sleepers,R
638,The English Patient,R
639,Twister,PG-13
640,Primal Fear,R
641,The Cable Guy,PG-13
642,Space Jam,PG
643,A Time to Kill,R
644,Ransom,R
645,Star Trek: First Contact,PG-13
646,Matilda,PG
647,The Nutty Professor,PG-13
648,Eraser,R
649,101 Dalmatians,G
650,Broken Arrow,R
651,Sling Blade,R
652,The People vs. Larry Flynt,R
653,Kingpin,PG-13
654,The Birdcage,R
655,Phenomenon,PG
656,Swingers,R
657,The Long Kiss Goodnight,R
658,Bottle Rocket,R
659,Escape from L.A.,R
660,That Thing You Do!,PG
661,Breaking the Waves,R
662,Jack,PG-13
663,Titanic,PG-13
664,Good Will Hunting,R
665,Life Is Beautiful,PG-13
666,L.A. Confidential,R
667,Men in Black,PG-13
668,The Fifth Element,PG-13
669,The Lost World: Jurassic Park,PG-13
670,Face/Off,R
671,The Game,R
672,The Devil's Advocate,R
673,Princess Mononoke,PG-13
674,Jackie Brown,R
675,Gattaca,PG-13
676,Liar Liar,PG-13
677,Con Air,R
678,Donnie Brasco,R
679,As Good as It Gets,PG-13
680,Starship Troopers,R
681,Contact,PG
682,Boogie Nights,R
683,Batman & Robin,PG-13
684,Alien: Resurrection,R
685,Austin Powers: International Man of Mystery,PG-13
686,Cube,R
687,Hercules,G
688,Tomorrow Never Dies,PG-13
689,Air Force One,R
690,Scream 2,R
691,Event Horizon,R
692,Chasing Amy,R
693,I Know What You Did Last Summer,R
694,Lost Highway,R
695,My Best Friend's Wedding,PG-13
696,Seven Years in Tibet,PG-13
697,Anastasia,G
698,The Jackal,R
699,The Full Monty,R
700,Bean,PG-13
701,Conspiracy Theory,R
702,Anaconda,PG-13
703,Grosse Pointe Blank,R
704,Cop Land,R
705,Flubber,PG
706,Wag the Dog,R
707,Dante's Peak,PG-13
708,Speed 2: Cruise Control,PG-13
709,Saving Private Ryan,R
710,American History X,R
711,The Truman Show,PG
712,The Big Lebowski,R
713,"Lock, Stock and Two Smoking Barrels",R
714,Armageddon,PG-13
715,There's Something About Mary,R
716,A Bug's Life,G
717,Fear and Loathing in Las Vegas,R
718,Blade,R
719,Rush Hour,PG-13
720,Mulan,G
721,Enemy of the State,R
722,Shakespeare in Love,R
723,Meet Joe Black,PG-13
724,Run Lola Run,R
725,Dark City,R
726,You've Got Mail,PG
727,Godzilla,PG-13
728,Ronin,R
729,Pi,R
730,The Thin Red Line,R
731,Rushmore,R
732,The Mask of Zorro,PG-13
733,Deep Impact,PG-13
734,The Man in the Iron Mask,PG-13
735,Lethal Weapon 4,R
736,Antz,PG
737,The Waterboy,PG-13
738,Rounders,R
739,The Wedding Singer,PG-13
740,The Negotiator,R
741,Pleasantville,PG-13
742,The Prince of Egypt,PG
743,City of Angels,PG-13
744,The Parent Trap,PG
745,The Faculty,R
746,Wild Things,R
747,The X Files,PG-13
748,What Dreams May Come,PG-13
749,Patch Adams,PG-13
750,Sphere,PG-13
751,U.S. Marshals,PG-13
752,Doctor Dolittle,PG-13
753,Elizabeth,R
754,Out of Sight,R
755,Fight Club,R
756,The Matrix,R
757,The Green Mile,R
758,American Beauty,R
759,The Sixth Sense,PG-13
760,Star Wars: Episode I - The Phantom Menace,PG
761,Toy Story 2,G
762,The Mummy,PG-13
763,American Pie,R
764,Sleepy Hollow,R
765,Being John Malkovich,R
766,Magnolia,R
767,Eyes Wide Shut,R
768,10 Things I Hate About You,PG-13
769,Notting Hill,PG-13
